fullname,othernames,firstname,lastname
hannah abbott,NA,hannah,abbott
ludo bagman,NA,ludo,bagman
bathilda bagshot,NA,bathilda,bagshot
katie bell,NA,katie,bell
cuthbert binns,NA,cuthbert,binns
phineas nigellus black,NA,phineas,black
sirius black,NA,sirius,black
amelia bones,NA,amelia,bones
susan bones,NA,susan,bones
terry boot,NA,terry,boot
lavender brown,NA,lavender,brown
millicent bulstrode,NA,millicent,bulstrode
charity burbage,NA,charity,burbage
frank bryce,NA,frank,bryce
alecto carrow,NA,alecto,carrow
amycus carrow,NA,amycus,carrow
reginald cattermole,NA,reginald,cattermole
mary cattermole,NA,mary,cattermole
cho chang,NA,cho,chang
penelope clearwater,NA,penelope,clearwater
mrs. cole,NA,NA,cole
michael corner,NA,michael,corner
"vincent crabbe, sr.",NA,vincent,"crabbe, sr."
vincent crabbe,NA,vincent,crabbe
colin creevey,NA,colin,creevey
dennis creevey,NA,dennis,creevey
dirk cresswell,NA,dirk,cresswell
"bartemius crouch, sr.",NA,bartemius,"crouch, sr."
"bartemius crouch, jr.",NA,bartemius,"crouch, jr."
roger davies,NA,roger,davies
dawlish,NA,NA,NA
fleur delacour,NA,fleur,delacour
gabrielle delacour,NA,gabrielle,delacour
dedalus diggle,NA,dedalus,diggle
amos diggory,NA,amos,diggory
cedric diggory,NA,cedric,diggory
elphias doge,NA,elphias,doge
antonin dolohov,NA,antonin,dolohov
aberforth dumbledore,NA,aberforth,dumbledore
albus dumbledore,NA,albus,dumbledore
dudley dursley,NA,dudley,dursley
marjorie dursley,NA,marjorie,dursley
petunia dursley,NA,petunia,dursley
vernon dursley,NA,vernon,dursley
marietta edgecombe,NA,marietta,edgecombe
arabella figg,NA,arabella,figg
argus filch,NA,argus,filch
justin finch-fletchley,NA,justin,NA
seamus finnigan,NA,seamus,finnigan
marcus flint,NA,marcus,flint
mundungus fletcher,NA,mundungus,fletcher
filius flitwick,NA,filius,flitwick
florean fortescue,NA,florean,fortescue
cornelius fudge,NA,cornelius,fudge
marvolo gaunt,NA,marvolo,gaunt
merope gaunt,NA,merope,gaunt
morfin gaunt,NA,morfin,gaunt
anthony goldstein,NA,anthony,goldstein
goyle sr,NA,goyle,sr
gregory goyle,NA,gregory,goyle
hermione granger,NA,hermione,granger
gregorovitch,NA,NA,NA
fenrir greyback,NA,fenrir,greyback
gellert grindelwald,NA,gellert,grindelwald
wilhelmina grubbly-plank,NA,wilhelmina,NA
godric gryffindor,NA,godric,gryffindor
rubeus hagrid,NA,rubeus,hagrid
rolanda hooch,NA,rolanda,hooch
mafalda hopkirk,NA,mafalda,hopkirk
angelina johnson,NA,angelina,johnson
lee jordan,NA,lee,jordan
bertha jorkins,NA,bertha,jorkins
igor karkaroff,NA,igor,karkaroff
viktor krum,NA,viktor,krum
bellatrix lestrange,NA,bellatrix,lestrange
rabastan lestrange,NA,rabastan,lestrange
rodolphus lestrange,NA,rodolphus,lestrange
gilderoy lockhart,NA,gilderoy,lockhart
alice longbottom and frank longbottom,NA,alice,longbottom
augusta longbottom,NA,augusta,longbottom
neville longbottom,NA,neville,longbottom
luna lovegood,NA,luna,lovegood
xenophilius lovegood,NA,xenophilius,lovegood
remus lupin,NA,remus,lupin
walden macnair,NA,walden,macnair
draco malfoy,NA,draco,malfoy
lucius malfoy,NA,lucius,malfoy
narcissa malfoy,NA,narcissa,malfoy
madam malkin,NA,madam,malkin
griselda marchbanks,NA,griselda,marchbanks
olympe maxime,NA,olympe,maxime
ernie macmillan,NA,ernie,macmillan
minerva mcgonagall,NA,minerva,mcgonagall
cormac mclaggen,NA,cormac,mclaggen
graham montague,NA,graham,montague
alastor moody,NA,alastor,moody
theodore nott,NA,theodore,nott
bob ogden,NA,bob,ogden
garrick ollivander,NA,garrick,ollivander
pansy parkinson,NA,pansy,parkinson
padma patil,NA,padma,patil
parvati patil,NA,parvati,patil
peter pettigrew,NA,peter,pettigrew
antioch peverell,NA,antioch,peverell
cadmus peverell,NA,cadmus,peverell
ignotus peverell,NA,ignotus,peverell
irma pince,NA,irma,pince
sturgis podmore,NA,sturgis,podmore
poppy pomfrey,NA,poppy,pomfrey
harry potter,NA,harry,potter
james potter,NA,james,potter
lily potter,NA,lily,potter
quirinus quirrell,NA,quirinus,quirrell
helena ravenclaw/the grey lady,NA,helena,lady
rowena ravenclaw,NA,rowena,ravenclaw
tom marvolo riddle,NA,tom,riddle
demelza robins,NA,demelza,robins
augustus rookwood,NA,augustus,rookwood
thorfinn rowle,NA,thorfinn,rowle
albert runcorn,NA,albert,runcorn
newt scamander,NA,newt,scamander
rufus scrimgeour,NA,rufus,scrimgeour
kingsley shacklebolt,NA,kingsley,shacklebolt
stan shunpike,NA,stan,shunpike
aurora sinistra,NA,aurora,sinistra
rita skeeter,NA,rita,skeeter
horace slughorn,NA,horace,slughorn
hepzibah smith,NA,hepzibah,smith
zacharias smith,NA,zacharias,smith
severus snape,NA,severus,snape
alicia spinnet,NA,alicia,spinnet
pomona sprout,NA,pomona,sprout
pius thicknesse,NA,pius,thicknesse
dean thomas,NA,dean,thomas
andromeda tonks,NA,andromeda,tonks
nymphadora tonks,NA,nymphadora,tonks
ted tonks,NA,ted,tonks
travers,NA,NA,NA
sybill trelawney,NA,sybill,trelawney
wilkie twycross,NA,wilkie,twycross
dolores jane umbridge,NA,dolores,umbridge
emmeline vance,NA,emmeline,vance
romilda vane,NA,romilda,vane
septima vector,NA,septima,vector
lord voldemort,NA,lord,voldemort
myrtle warren/moaning myrtle,NA,myrtle,myrtle
arthur weasley,NA,arthur,weasley
bill weasley,NA,bill,weasley
charlie weasley,NA,charlie,weasley
fred weasley,NA,fred,weasley
george weasley,NA,george,weasley
ginny weasley,NA,ginny,weasley
molly weasley,NA,molly,weasley
percy weasley,NA,percy,weasley
ron weasley,NA,ron,weasley
oliver wood,NA,oliver,wood
